Thank you so much, Chris.	Merci beaucoup, Chris.
And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.	C'est vraiment un honneur de pouvoir venir sur cette scène une deuxième fois. Je suis très reconnaissant.
I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.	J'ai été très impressionné par cette conférence, et je tiens à vous remercier tous pour vos nombreux et sympathiques commentaires sur ce que j'ai dit l'autre soir.
And I say that sincerely, partly because (Mock sob) I need that.	Et je dis çà sincèrement, en autres parce que --Faux sanglot-- j'en ai besoin !
(Laughter) Put yourselves in my position.	--Rires-- Mettez-vous à ma place!
(Laughter) I flew on Air Force Two for eight years.	J'ai volé avec Air Force 2 pendant huit ans.
(Laughter) Now I have to take off my shoes or boots to get on an airplane!	Et maintenant, je dois enlever mes chaussures pour monter à bord d'un avion !
(Laughter) (Applause) I'll tell you one quick story to illustrate what that's been like for me.	--Rires Applaudissements-- Je vais vous raconter une petite histoire pour vous montrer ce que çà a été pour moi.
(Laughter) It's a true story -- every bit of this is true.	C'est une histoire vraie, dans tous ses détails.
Soon after Tipper and I left the -- (Mock sob) White House -- (Laughter) we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville.	Après que Tipper et moi avons quitté la --Faux sanglot-- Maison Blanche --Rires-- nous étions en route pour une petite ferme que nous avons à 80 km à l'est de Nashville --
Driving ourselves.	conduisant nous-mêmes.
(Laughter) I know it sounds like a little thing to you, but -- (Laughter) I looked in the rear-view mirror and all of a sudden it just hit me.	Je sais que ça doit vous paraître sans importance mais --Rires-- en jetant un oeil sur le rétroviseur, j'ai réalisé tout à coup.
There was no motorcade back there.	Il n'y avait pas d'escorte derrière.
(Laughter) You've heard of phantom limb pain?	Vous avez déjà entendu parlé de douleur du membre fantôme?
(Laughter) This was a rented Ford Taurus.	--Rires-- C'était une Ford Taurus de location.
(Laughter) It was dinnertime, and we started looking for a place to eat.	C'était l'heure de dîner et on s'est mis à chercher un endroit pour manger.
We were on I-40.	On était sur la I-40. Nous avons pris la sortie 238, Lebanon dans le Tennessee.
We got off the exit, we found a Shoney's restaurant.	Après être sortis, on a commencé à chercher un -- on a trouvé un Shoney's.
Low-cost family restaurant chain, for those of you who don't know it.	Une chaîne de restauration familiale à bas prix, pour ceux d'entre vous qui l'ignorent.
We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.	On est entrés et la serveuse est arrivée. Elle était très impressionnée de voir... Tipper.
(Laughter) She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.	--Rires-- Elle a pris nos commandes et s'est dirigée vers la table à côté de la nôtre. Elle leur parlait tout bas et j'ai vraiment dû tendre l'oreille pour entendre ce qu'elle disait.
And she said "Yes, that's former Vice President Al Gore and his wife, Tipper."	Elle a dit :"Oui, c'est l'ancien vice-président Al Gore et sa femme Tipper;"
And the man said, "He's come down a long way, hasn't he?"	Et l'homme a répondu, " Il est tombé bien bas, hein ?"
(Laughter) (Applause) There's been kind of a series of epiphanies.	--Rires-- Il y a eu plusieurs moments de prise de conscience comme celui-là.
(Laughter) The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.	Le jour suivant, je continue mon histoire authentique. J'ai pris un jet vers l'Afrique pour faire un discours au Nigéria, à Lagos, sur le thème de l'énergie.
And I began the speech by telling them the story of what had just happened the day before in Nashville.	Et j'ai commencé mon discours en racontant l'histoire qui m'était arrivée la veille à Nashville.
And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed.	Je l'ai racontée comme je viens de le faire avec vous. Tipper et moi conduisant nous-mêmes, le restaurant familial pas cher Shoney's, ce que l'homme a dit -- Et ils ont ri.
I gave my speech, then went back out to the airport to fly back home.	J'ai fait mon discours et je suis retourné à l'aéroport pour rentrer chez moi.
I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.	Je me suis endormi pendant le vol, jusqu'au milieu de la nuit, où nous nous sommes posés aux Açores pour faire le plein.
I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.	Je me suis levé, ils ont ouvert la porte et je suis sorti pour prendre l'air. Et j'ai vu un homme courir à travers la piste.
And he was waving a piece of paper, and he was yelling, "Call Washington! Call Washington!"	Il agitait un papier et criait : "Appelez Washington, Appelez Washington!"
And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?	Alors je me suis dit, en pleine nuit, au milieu de l'Atlantique, je me demande bien quel genre de problème il pourrait y avoir à Washington? Et je me suis rappelé que ça pourrait être plein de choses, en fait.
Then I remembered it could be a bunch of things.	--Rires--
(Laughter) But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.	Mais en fait, ce qui se passait c'est que mes collaborateurs étaient paniqués parce qu' une agence de presse au Nigéria avait déjà écrit un article sur mon discours. Et il avait déjà été publié dans tous les Etats Unis d'Amérique.
It was printed in Monterey, I checked.	même à Monterey, j'ai vérifié.
(Laughter) And the story began, "Former Vice President Al Gore announced in Nigeria yesterday," quote: 'My wife Tipper and I have opened a low-cost family restaurant'" -- (Laughter) "'named Shoney's, and we are running it ourselves.'" (Laughter) Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on -- one of them had me in a big white chef's hat, Tipper was saying, "One more burger with fries!"	Et l'article disait : "L'ancien vice-président Al Gore a annoncé hier au Nigéria, "Ma femme Tipper et moi avons ouvert un restaurant familial à bas prix, le Shoney's, et nous nous en occupons nous-mêmes." --Rires-- Avant même d'avoir posé le pied aux USA, David Letterman et Jay Leno s'étaient déjà jetés sur l'histoire -- l'un d'eux me montrait sur une photo avec une toque de chef, et avec Tipper disant "Un autre hamburger avec des frites, s'il vous plaît!"
(Laughter) Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, "Congratulations on the new restaurant, Al!"	Trois jours plus tard, j'ai reçu une belle lettre manuscrite de mon ami, partenaire et collègue Bill Clinton me disant : "Félicitations pour ton nouveau restaurant, Al !"
(Laughter) We like to celebrate each other's successes in life.	--Rires-- On aime bien se féliciter quand l'un d'entre nous réussit quelque chose.
(Laughter) I was going to talk about information ecology.	J'allais parler d'écologie de l'information.
But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.	Mais comme je compte faire de mes visites chez TED une habitude régulière, je me disais que je pourrais peut-être en parler une autre fois --Applaudissements--
(Applause) Chris Anderson: It's a deal!	Chris Anderson: Marché conclu!
(Applause) Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?	Al Gore: Je voudrais approfondir un aspect sur lequel beaucoup d'entre vous ont demandé plus d'information. Qu'est-ce que vous pouvez faire contre le réchauffement climatique?
I want to start with a couple of -- I'm going to show some new images, and I'm going to recapitulate just four or five.	J'aimerais commencer avec -- Je vais vous montrer de nouvelles diapositives et je vais juste en détailler quatre ou cinq.
Now, the slide show.	Je mets à jour ma présentation à chaque fois que je la donne.
I add new images, because I learn more about it every time I give it.	J'ai ajouté de nouvelles diapositives parce que j'apprends de nouvelles choses à chaque présentation.
It's like beach-combing, you know?	C'est comme la marée : à chaque fois que la mer se retire,
Every time the tide comes in and out, you find some more shells.	vous trouvez de nouveaux coquillages.
Just in the last two days, we got the new temperature records in January.	On vient de recevoir il y a deux jours les résultats des températures de janvier.
This is just for the United States of America.	Cela porte sur les USA.
Historical average for Januarys is 31 degrees; last month was 39.5 degrees.	La moyenne historique de Janvier est de 31 °F (0 °C). Celle du mois dernier est de 39.5 °F (4 °C).
Now, I know that you wanted some more bad news about the environment -- I'm kidding.	Comme je sais que vous vouliez plus de mauvaises nouvelles pour l'environnement -- je plaisante -- mais voici les diapositives récapitulatives,
But these are the recapitulation slides, and then I'm going to go into new material about what you can do.	et après je passerai à ce que vous pouvez faire à votre échelle.
But I wanted to elaborate on a couple of these.	Mais je voulais détailler quelques diapos avant.
First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.	Tout d'abord, ceci montre la projection de la contribution des USA au réchauffement climatique si l'on continue sur la même voie.
Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.	L'efficacité énergétique au niveau de l'utilisateur final voilà un objectif à portée de main.
Efficiency and conservation -- it's not a cost; it's a profit.	Efficacité et économie: Il ne s'agit pas d'un coût mais d'un profit.
The sign is wrong.	Le signe est faux.
It's not negative; it's positive.	Ce n'est pas un moins, c'est un plus.
These are investments that pay for themselves.	Ce sont des investissements qui se paient tous seuls.
But they are also very effective in deflecting our path.	Et ils sont aussi très efficaces pour infléchir la courbe.
Cars and trucks -- I talked about that in the slideshow, but I want you to put it in perspective.	J'ai parlé des voitures et des camions dans la présentation, mais il faut les ramener à une vision d'ensemble.
